Date,最新價,"移動平均(簡單,200,0)"
2017-12-31,2673.610107421875,2482.1842065429687
2018-01-31,2823.81005859375,2527.8885583496094
2018-02-28,2713.830078125,2558.6494104003905
2018-03-31,2640.8701171875,2589.126160888672
2018-04-30,2648.050048828125,2612.3308093261717
2018-05-31,2705.27001953125,2637.896806640625
2018-06-30,2718.3701171875,2668.9817053222655
2018-07-31,2816.2900390625,2697.5554052734374
2018-08-31,2901.52001953125,2730.187803955078
2018-09-30,2913.97998046875,2757.0055017089844
2018-10-31,2711.739990234375,2765.3851989746095
2018-11-30,2760.169921875,2761.8793505859376
2018-12-31,2506.85009765625,2746.0023498535156
2019-01-31,2704.10009765625,2741.470949707031
2019-02-28,2784.489990234375,2749.262053222656
2019-03-31,2834.39990234375,2756.2953491210938
2019-04-30,2945.830078125,2772.158345947266
2019-05-31,2752.06005859375,2775.4954943847656
2019-06-30,2941.760009765625,2777.1437438964845
2019-07-31,2980.3798828125,2788.3763928222656
2019-08-31,2926.4599609375,2805.539443359375
2019-09-30,2976.739990234375,2834.5162939453126
2019-10-31,3037.56005859375,2885.7757421875
2019-11-30,3140.97998046875,2927.1547399902342
2019-12-31,3230.780029296875,2967.8447912597658
2020-01-31,3225.52001953125,3011.881442871094
2020-02-29,2954.219970703125,3047.173692626953
2020-03-31,2584.590087890625,3026.71744140625
2020-04-30,2912.429931640625,3005.7950915527344
2020-05-31,3044.31005859375,3001.895339355469
2020-06-30,3100.2900390625,3021.6254443359376
2020-07-31,3271.1201171875,3048.5603942871094
2020-08-31,3500.31005859375,3085.078546142578
2020-09-30,3363.0,3110.0527490234376
2020-10-31,3269.9599609375,3129.4710986328123
2020-11-30,3621.6298828125,3152.9018481445314
2020-12-31,3756.070068359375,3234.5551013183594
2021-01-31,3714.239990234375,3349.974354248047
2021-02-28,3811.14990234375,3447.5849060058595
2021-03-31,3972.889892578125,3548.8135083007815
2021-04-30,4181.169921875,3655.36515625
2021-05-31,4204.10986328125,3744.0790100097656
2021-06-30,4297.5,3833.7824584960936
2021-07-31,4395.259765625,3938.0713525390624
2021-08-31,4522.68017578125,4049.650206298828
2021-09-30,4307.5400390625,4134.558254394531
2021-10-31,4605.3798828125,4210.113796386719
2021-11-30,4567.0,4296.287742919922
2021-12-31,4766.18017578125,4382.6249963378905
2022-01-31,4515.5498046875,4436.667990722656
2022-02-28,4373.93994140625,4462.025483398437
2022-03-31,4530.41015625,4484.020588378906
2022-04-30,4131.93017578125,4492.745344238281
2022-05-31,4132.14990234375,4454.9610913085935
2022-06-30,3785.3798828125,4393.537846679687
2022-07-31,4130.2900390625,4346.051247558594
2022-08-31,3955.0,4297.0190075683595
2022-09-30,3585.6201171875,4213.035708007813
2022-10-31,3871.97998046875,4109.337208251953
2022-11-30,4080.110107421875,4050.3001123046874
2022-12-31,3839.5,4008.3759155273438
2023-01-31,4076.60009765625,3954.007315673828
2023-02-28,3970.14990234375,3940.2033642578126
2023-03-31,4109.31005859375,3935.5521130371094
2023-04-30,4169.47998046875,3964.7493615722656
2023-05-31,4179.830078125,3975.4379638671876
2023-06-30,4450.3798828125,4002.099855957031
2023-07-31,4588.9599609375,4078.8915551757814
2023-08-31,4507.66015625,4157.247650146484
2023-09-30,4288.0498046875,4199.462198486328
2023-10-31,4193.7998046875,4242.1325012207035
2023-11-30,4567.7998046875,4283.722149658203
2023-12-31,4769.830078125,4353.7657470703125
2024-01-31,4845.64990234375,4434.0415551757815
2024-02-29,5096.27001953125,4522.6436450195315
2024-03-31,5254.35009765625,4618.4469921875
2024-04-30,5035.68994140625,4695.6116015625
2024-05-31,5277.509765625,4773.845505371094
2024-06-30,5460.47998046875,4866.08740234375
2024-07-31,5522.2998046875,4997.195053710938
2024-08-31,5648.39990234375,5127.931960449218
2024-09-30,5762.47998046875,5234.142504882812
2024-10-31,5705.4501953125,5354.407697753906
2024-11-30,6032.3798828125,5455.173994140625
2024-12-31,5881.6298828125,5551.6156005859375
2025-01-31,6040.52978515625,5629.953549804687
2025-02-28,5954.5,5720.087893066407
2025-03-31,5611.85009765625,5760.223447265625
2025-04-30,5569.06005859375,5746.046599121094
2025-05-31,5911.68994140625,5785.2375390625
2025-06-30,6204.9501953125,5833.126889648437
2025-07-31,6339.39013671875,5898.810346679687
2025-08-31,6460.259765625,5959.4659423828125
2025-09-30,6688.4599609375,6021.222590332031
2025-10-31,6840.2001953125,6111.516240234375
2025-11-30,6849.08984375,6177.345637207031
2025-12-31,6845.5,6286.451240234375
2026-01-31,6939.02978515625,6428.979135742187
2026-02-28,6878.8798828125,6559.926281738281
2026-03-31,6528.52001953125,6638.858090820312
2026-04-30,7209.009765625,6723.6132421875
2026-05-31,7445.72021484375,6802.015043945313
