,earnings_yield_pct,GS10_pct,ERP_trailing_pct
2016-02-29,4.540490017958223,1.78,2.7604900179582224
2016-03-31,4.27508098617671,1.89,2.3850809861767104
2016-04-30,4.172408144386521,1.81,2.3624081443865212
2016-05-31,4.20033405146329,1.81,2.3903340514632903
2016-06-30,4.1710454966432975,1.64,2.531045496643298
2016-07-31,4.078520793584314,1.5,2.578520793584314
2016-08-31,4.070414641823473,1.56,2.510414641823473
2016-09-30,4.128952722587582,1.63,2.498952722587582
2016-10-31,4.2426813746287655,1.76,2.4826813746287657
2016-11-30,4.283160661250168,2.14,2.143160661250168
2016-12-31,4.208525658430627,2.49,1.718525658430627
2017-01-31,4.239922875862959,2.43,1.8099228758629589
2017-02-28,4.222337629636624,2.42,1.8023376296366242
2017-03-31,4.237331102491951,2.48,1.7573311024919511
2017-04-30,4.303518118998069,2.3,2.003518118998069
2017-05-31,4.290674292552932,2.3,1.9906742925529324
2017-06-30,4.273641222848081,2.19,2.083641222848081
2017-07-31,4.280184181573692,2.32,1.9601841815736925
2017-08-31,4.318017115730676,2.21,2.108017115730676
2017-09-30,4.295502318640586,2.2,2.0955023186405857
2017-10-31,4.224757076468102,2.36,1.8647570764681025
2017-11-30,4.200580143763583,2.35,1.8505801437635827
2017-12-31,4.124098275745587,2.4,1.7240982757455874
2018-01-31,4.00506607403159,2.58,1.42506607403159
2018-02-28,4.19888903675445,2.86,1.3388890367544497
2018-03-31,4.271173647776171,2.84,1.4311736477761707
2018-04-30,4.4386996931247635,2.87,1.5686996931247634
2018-05-31,4.446928670227664,2.976,1.4709286702276643
2018-06-30,4.4467841777551875,2.91,1.5367841777551874
2018-07-31,4.478625258324862,2.89,1.588625258324862
2018-08-31,4.470307203859352,2.89,1.5803072038593515
2018-09-30,4.493882474582112,3.0,1.4938824745821124
2018-10-31,4.705882352941177,3.15,1.5558823529411767
2018-11-30,4.837025639895761,3.12,1.7170256398957608
2018-12-31,5.1567594096544624,2.83,2.3267594096544624
2019-01-31,4.5367534456355285,1.71,2.8267534456355285
2019-02-28,4.854088169029762,2.68,2.1740881690297615
2019-03-31,4.792830191370837,2.57,2.222830191370837
2019-04-30,4.638175264595817,2.53,2.108175264595817
2019-05-31,4.728209403640533,2.4,2.328209403640533
2019-06-30,4.680347522810077,2.06,2.620347522810077
2019-07-31,4.488481290156187,1.63,2.8584812901561873
2019-08-31,4.613980462141634,1.63,2.983980462141634
2019-09-30,4.456507305452834,1.7,2.7565073054528337
2019-10-31,4.537205081669692,1.71,2.8272050816696916
2019-11-30,4.421392026711289,1.81,2.611392026711289
2019-12-31,4.390336693361618,1.86,2.530336693361618
2020-01-31,2.833142072510344,0.79,2.043142072510344
2020-02-29,3.7849081706881176,1.5,2.2849081706881176
2020-03-31,4.3858497624615564,0.87,3.5158497624615563
2020-04-30,4.0054667570551645,0.66,3.3454667570551644
2020-05-31,3.593967012773945,0.67,2.923967012773945
